2026-04-15 06:21:37 | WARNING  | analyzers.institutional_flow        | institutional_flow.py:1058 | Timeout: https://publicreporting.cftc.gov/api/odata/v1/CorpActions?$filter=Market_and_Exchange_Names eq 'BITCOIN - CHICAGO MERCANTILE EXCHANGE'&$orderby=Report_Date_as_YYYY_MM_DD desc&$top=1
2026-04-15 06:38:59 | WARNING  | analyzers.news_scraper              | news_scraper.py:1235 | 📰🔴 NEWS STORM MODERATE: 3/4 negative items in 15min — LONG penalty -15, SHORT penalty -5 (regime=BULL_TREND)
2026-04-15 06:39:11 | WARNING  | analyzers.news_scraper              | news_scraper.py:1235 | 📰🔴 NEWS STORM MODERATE: 3/4 negative items in 15min — LONG penalty -15, SHORT penalty -5 (regime=BULL_TREND)
2026-04-15 06:39:11 | WARNING  | analyzers.news_scraper              | news_scraper.py:1235 | 📰🔴 NEWS STORM MODERATE: 3/4 negative items in 15min — LONG penalty -15, SHORT penalty -5 (regime=BULL_TREND)
2026-04-15 06:39:12 | WARNING  | analyzers.news_scraper              | news_scraper.py:1235 | 📰🔴 NEWS STORM MODERATE: 3/4 negative items in 15min — LONG penalty -15, SHORT penalty -5 (regime=BULL_TREND)
2026-04-15 06:39:14 | WARNING  | analyzers.news_scraper              | news_scraper.py:1235 | 📰🔴 NEWS STORM MODERATE: 3/4 negative items in 15min — LONG penalty -15, SHORT penalty -5 (regime=BULL_TREND)
2026-04-15 06:39:15 | WARNING  | analyzers.news_scraper              | news_scraper.py:1235 | 📰🔴 NEWS STORM MODERATE: 3/4 negative items in 15min — LONG penalty -15, SHORT penalty -5 (regime=BULL_TREND)
2026-04-15 06:39:15 | WARNING  | analyzers.news_scraper              | news_scraper.py:1235 | 📰🔴 NEWS STORM MODERATE: 3/4 negative items in 15min — LONG penalty -15, SHORT penalty -5 (regime=BULL_TREND)
2026-04-15 06:39:28 | WARNING  | analyzers.news_scraper              | news_scraper.py:1235 | 📰🔴 NEWS STORM MODERATE: 3/4 negative items in 15min — LONG penalty -15, SHORT penalty -5 (regime=BULL_TREND)
2026-04-15 06:39:29 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble XRP/USDT SUPPRESS: score=-5.1 sup=1 opp=3 adj=+0 | Ensemble SUPPRESS: weighted score -5.1 below -4.5 threshold (cvd(-3.6), onchain(-1.2), whale_intent(-1.3))
2026-04-15 06:39:30 | WARNING  | analyzers.news_scraper              | news_scraper.py:1235 | 📰🔴 NEWS STORM MODERATE: 3/4 negative items in 15min — LONG penalty -15, SHORT penalty -5 (regime=BULL_TREND)
